alpha,fit_prior,Accuracy,Precision,Recall,F1_Score,ROC_AUC
0.1,True,0.6,0.6,0.7142857142857143,0.6521739130434783,0.6015037593984962
0.1,False,0.6,0.6,0.7142857142857143,0.6521739130434783,0.6015037593984962
0.5,True,0.6,0.6,0.7142857142857143,0.6521739130434783,0.5939849624060151
0.5,False,0.6,0.6,0.7142857142857143,0.6521739130434783,0.5939849624060151
1.0,True,0.6,0.6,0.7142857142857143,0.6521739130434783,0.6090225563909775
1.0,False,0.6,0.6,0.7142857142857143,0.6521739130434783,0.6090225563909775
2.0,True,0.6,0.6,0.7142857142857143,0.6521739130434783,0.6115288220551379
2.0,False,0.6,0.6,0.7142857142857143,0.6521739130434783,0.6115288220551379
3.0,True,0.625,0.6153846153846154,0.7619047619047619,0.6808510638297872,0.6040100250626567
3.0,False,0.6,0.6,0.7142857142857143,0.6521739130434783,0.6040100250626567
