num_leaves,max_depth,learning_rate,n_estimators,Accuracy,Precision,Recall,F1_Score,ROC_AUC
15,5,0.01,100,0.625,0.625,0.7142857142857143,0.6666666666666666,0.6328320802005012
15,5,0.01,200,0.625,0.6363636363636364,0.6666666666666666,0.6511627906976745,0.6140350877192983
15,5,0.05,100,0.6,0.631578947368421,0.5714285714285714,0.6,0.6065162907268171
15,5,0.05,200,0.625,0.6666666666666666,0.5714285714285714,0.6153846153846154,0.6115288220551378
15,5,0.1,100,0.6,0.631578947368421,0.5714285714285714,0.6,0.606516290726817
15,5,0.1,200,0.625,0.65,0.6190476190476191,0.6341463414634146,0.5989974937343359
15,10,0.01,100,0.625,0.625,0.7142857142857143,0.6666666666666666,0.6328320802005012
15,10,0.01,200,0.625,0.6363636363636364,0.6666666666666666,0.6511627906976745,0.6140350877192983
15,10,0.05,100,0.625,0.65,0.6190476190476191,0.6341463414634146,0.6140350877192983
15,10,0.05,200,0.675,0.7222222222222222,0.6190476190476191,0.6666666666666666,0.6165413533834586
15,10,0.1,100,0.6,0.631578947368421,0.5714285714285714,0.6,0.606516290726817
15,10,0.1,200,0.6,0.6190476190476191,0.6190476190476191,0.6190476190476191,0.5739348370927317
15,-1,0.01,100,0.625,0.625,0.7142857142857143,0.6666666666666666,0.6328320802005012
15,-1,0.01,200,0.625,0.6363636363636364,0.6666666666666666,0.6511627906976745,0.6140350877192983
15,-1,0.05,100,0.625,0.65,0.6190476190476191,0.6341463414634146,0.6140350877192983
15,-1,0.05,200,0.675,0.7222222222222222,0.6190476190476191,0.6666666666666666,0.6165413533834586
15,-1,0.1,100,0.6,0.631578947368421,0.5714285714285714,0.6,0.606516290726817
15,-1,0.1,200,0.6,0.6190476190476191,0.6190476190476191,0.6190476190476191,0.5739348370927317
31,5,0.01,100,0.625,0.625,0.7142857142857143,0.6666666666666666,0.6328320802005012
31,5,0.01,200,0.625,0.6363636363636364,0.6666666666666666,0.6511627906976745,0.6140350877192983
31,5,0.05,100,0.6,0.631578947368421,0.5714285714285714,0.6,0.6065162907268171
31,5,0.05,200,0.625,0.6666666666666666,0.5714285714285714,0.6153846153846154,0.6115288220551378
31,5,0.1,100,0.6,0.631578947368421,0.5714285714285714,0.6,0.606516290726817
31,5,0.1,200,0.625,0.65,0.6190476190476191,0.6341463414634146,0.5989974937343359
31,10,0.01,100,0.625,0.625,0.7142857142857143,0.6666666666666666,0.6328320802005012
31,10,0.01,200,0.625,0.6363636363636364,0.6666666666666666,0.6511627906976745,0.6140350877192983
31,10,0.05,100,0.625,0.65,0.6190476190476191,0.6341463414634146,0.6140350877192983
31,10,0.05,200,0.675,0.7222222222222222,0.6190476190476191,0.6666666666666666,0.6165413533834586
31,10,0.1,100,0.6,0.631578947368421,0.5714285714285714,0.6,0.606516290726817
31,10,0.1,200,0.6,0.6190476190476191,0.6190476190476191,0.6190476190476191,0.5739348370927317
31,-1,0.01,100,0.625,0.625,0.7142857142857143,0.6666666666666666,0.6328320802005012
31,-1,0.01,200,0.625,0.6363636363636364,0.6666666666666666,0.6511627906976745,0.6140350877192983
31,-1,0.05,100,0.625,0.65,0.6190476190476191,0.6341463414634146,0.6140350877192983
31,-1,0.05,200,0.675,0.7222222222222222,0.6190476190476191,0.6666666666666666,0.6165413533834586
31,-1,0.1,100,0.6,0.631578947368421,0.5714285714285714,0.6,0.606516290726817
31,-1,0.1,200,0.6,0.6190476190476191,0.6190476190476191,0.6190476190476191,0.5739348370927317
63,5,0.01,100,0.625,0.625,0.7142857142857143,0.6666666666666666,0.6328320802005012
63,5,0.01,200,0.625,0.6363636363636364,0.6666666666666666,0.6511627906976745,0.6140350877192983
63,5,0.05,100,0.6,0.631578947368421,0.5714285714285714,0.6,0.6065162907268171
63,5,0.05,200,0.625,0.6666666666666666,0.5714285714285714,0.6153846153846154,0.6115288220551378
63,5,0.1,100,0.6,0.631578947368421,0.5714285714285714,0.6,0.606516290726817
63,5,0.1,200,0.625,0.65,0.6190476190476191,0.6341463414634146,0.5989974937343359
63,10,0.01,100,0.625,0.625,0.7142857142857143,0.6666666666666666,0.6328320802005012
63,10,0.01,200,0.625,0.6363636363636364,0.6666666666666666,0.6511627906976745,0.6140350877192983
63,10,0.05,100,0.625,0.65,0.6190476190476191,0.6341463414634146,0.6140350877192983
63,10,0.05,200,0.675,0.7222222222222222,0.6190476190476191,0.6666666666666666,0.6165413533834586
63,10,0.1,100,0.6,0.631578947368421,0.5714285714285714,0.6,0.606516290726817
63,10,0.1,200,0.6,0.6190476190476191,0.6190476190476191,0.6190476190476191,0.5739348370927317
63,-1,0.01,100,0.625,0.625,0.7142857142857143,0.6666666666666666,0.6328320802005012
63,-1,0.01,200,0.625,0.6363636363636364,0.6666666666666666,0.6511627906976745,0.6140350877192983
63,-1,0.05,100,0.625,0.65,0.6190476190476191,0.6341463414634146,0.6140350877192983
63,-1,0.05,200,0.675,0.7222222222222222,0.6190476190476191,0.6666666666666666,0.6165413533834586
63,-1,0.1,100,0.6,0.631578947368421,0.5714285714285714,0.6,0.606516290726817
63,-1,0.1,200,0.6,0.6190476190476191,0.6190476190476191,0.6190476190476191,0.5739348370927317
