PDB,BSA,C?-rmsd,P-rmsd,i-rmsd_C?,i-rmsd_P,i-rmsd_C+P
1ASY,4430,1.5,4.9,1.3,3.3,2.3
1B23,2616,10,7.2,13.3,13,13.2
1C0A,4504,1.6,1.8,1.6,1.8,1.7
1QTQ,5202,1.6,4.8,1.8,6.4,4
2BTE,3430,1.2,4.6,1.3,4.1,2.5
2DRB,3198,1.1,3.4,1.8,4.2,2.5
2FMT,2940,1.2,2.3,0.9,2.5,1.7
2ZZM,4523,15.1,4.6,20,6.4,12.9
3HL2,2186,0.6,5.2,1.3,6,4.3
3VJR,1354,0.8,3.7,0.8,3.8,2
5X6B,4240,0.6,3.2,1.2,6.4,3.5
6LVR,1055,3.4,1.3,4.4,1.1,4
7YSE,9045,3.5,6,4.6,5.9,4.7
1DFU,1690,3,5.3,3,4.4,3.7
1FEU,1595,2.1,3.3,2.4,2.8,2.6
1MMS,2455,3.5,1.6,4.1,1.6,3.3
3IEV,2273,0.5,7.6,0.5,8.4,4.5
1OOA,1909,6.2,6.7,5.5,7,6.3
1R3E,3680,2,4.9,3.3,4.9,3.6
2R8S,2510,1.6,4.3,2.9,2.1,2.5
3SNP,2872,0.7,3.8,14.5,3.3,12.8
2OZB,2569,1.9,11,1.9,13,19
7P0V,1210,1.5,1.1,1.7,0.9,1.4
1JBS,1310,0.7,3.4,0.6,3.2,1.9
1WSU,940,0.7,4.2,0.5,1.1,0.8
1ZBH,1760,0.6,3.6,0.6,3.4,2
2BH2,4491,1.4,9.8,0.7,11,6
1F7U,5767,2,,2.2,,
1H3E,3758,7.7,,4.5,,
1H4S,2480,1,,0.9,,
1J1U,2240,1.3,,0.8,,
1N78,4510,1.9,,1.4,,
1QF6,4602,0.8,,0.7,,
1SER,2290,1.7,,2.4,,
1U0B,4560,0.7,,1,,
1VFG,1664,1.6,,1.4,,
2AZX,2130,0.8,,0.6,,
2FK6,1530,0.7,,0.8,,
3ADB,3099,22.4,,27.3,,
3AMT,3821,0.8,,0.7,,
4YCP,2151,0.4,,6.8,,
4YVJ,2313,0.7,,1.3,,
5HR7,3450,1.4,,1.3,,
5B63,3360,1.2,,1.5,,
5T8Y,697,0.4,,0.3,,
5WT1,4824,11.5,,12.1,,
5ZW4,762,0.6,,0.9,,
7E8O,801,1.8,,1,,
7K98,7115,1.5,,7.9,,
7MJW,2677,1.4,,1.5,,
8H1B,1397,0.9,,1.9,,
8JOZ,1906,0.6,,1.1,,
1G1X,4945,0.9,,1.1,,
1SDS,1200,0.3,,0.4,,
2HW8,2401,6.7,,5.1,,
5WTY,3205,2.5,,2.6,,
1MSW,1830,3.5,,3.5,,
1N35,3240,0.5,,0.9,,
1Q2R,3006,0.6,,1.6,,
1WNE,3080,0.7,,0.6,,
1YVP,4207,1.4,,1.3,,
1ZBI,1675,0.6,,0.6,,
2AZ0,2264,1.3,,1,,
2BGG,2240,0.9,,0.8,,
2EZ6,5193,1,,0.8,,
2F8S,990,1.9,,1.5,,
2GJW,3243,1,,1,,
2GXB,768,1.1,,0.7,,
2QUX,1754,0.9,,0.5,,
2Y8W,3258,1.1,,3.1,,
2ZKO,2466,0.6,,0.8,,
3A6P,4223,1.2,,1.4,,
3BSN,3111,1.3,,1.9,,
3DD2,1822,0.6,,0.5,,
3EQT,2705,1.2,,1.2,,
3FTE,836,1.4,,1.1,,
3KS8,1663,0.6,,0.4,,
3MOJ,1758,1,,1,,
3O3I,923,2.1,,2.7,,
3OIJ,2070,0.8,,1.7,,
3OL6,4174,0.8,,1.1,,
3RW6,2699,13.5,,19,,
3ZC0,2324,0.5,,0.5,,
4ERD,3280,1.5,,1.2,,
4FVU,1240,1,,0.7,,
4IG8,2914,2.4,,2.8,,
4ILL,7074,0.9,,0.9,,
4ZT0,10845,29.6,,22,,
5ED1,2403,1.1,,2.3,,
5F5H,1618,0.5,,0.6,,
5WTK,8811,4.9,,4,,
5ZQ8,1992,1.5,,1.2,,
6D12,1428,2.1,,1.6,,
6DCB,697,0.7,,0.3,,
6FQ3,986,7.9,,2,,
6SY4,1702,1.7,,2,,
6PZQ,668,0.9,,0.5,,
6RTI,3147,0.4,,0.6,,
6ZDP,2629,4.1,,8.4,,
7KFN,2724,0.9,,1.6,,
7KKV,1365,0.7,,0.7,,
7OG0,597,3,,2.1,,
7OM6,6642,0.9,,1.4,,
7XD8,3539,3.7,,5.2,,
7XWZ,811,1,,2.2,,
7ZLQ,784,1.3,,0.6,,
8AF0,1068,0.7,,0.4,,
1AV6,844,0.5,,0.4,,
1C9S,1027,0.3,,0.2,,
1CVJ,2822,2.7,,3.9,,
1G2E,2776,0.9,,0.6,,
1K8W,2973,1.9,,1.3,,
1KQ2,3026,0.6,,0.5,,
1M5O,1770,1.2,,0.9,,
1M8V,1290,0.6,,0.4,,
1M8W,2110,0.8,,0.7,,
1UVI,1814,0.2,,0.2,,
1WPU,1360,0.2,,0.2,,
2A8V,720,1,,1.6,,
2ASB,2320,1.1,,0.8,,
2GIC,2000,1.3,,0.9,,
2IX1,4160,1.6,,0.9,,
2JEA,1533,0.3,,0.3,,
2JLU,1925,2.1,,2.8,,
2PY9,1060,1.4,,1.6,,
2Q66,1811,1.9,,2.1,,
2R7R,1955,0.2,,1.9,,
2XGJ,1389,4.1,,3.1,,
2XNR,926,1,,1.2,,
2XZO,2006,6.2,,5,,
3AEV,2416,0.7,,0.5,,
3BX2,2467,0.6,,0.5,,
3D2S,569,0.8,,0.6,,
3MDG,1069,0.5,,0.9,,
3NMR,1096,2.7,,2.2,,
3O8C,1909,1,,1.1,,
3PF4,963,0.5,,0.4,,
3QJJ,3191,1,,1,,
3RC8,1471,1.1,,0.8,,
4E78,2100,0.7,,0.8,,
4H5P,4482,0.9,,2.1,,
4HOR,1747,3.1,,2.4,,
4J7M,1268,0.3,,0.3,,
4M59,7842,10.5,,7.1,,
4MDX,2127,0.7,,1.6,,
4N2Q,814,2.3,,1.3,,
4QU6,696,2.5,,2.4,,
5DET,2137,1.2,,1.6,,
5EIM,1529,0.6,,1.3,,
5ELS,2313,1.5,,2.9,,
5EX7,1639,0.5,,0.8,,
5GXH,1711,0.4,,0.2,,
5LTA,2287,2.4,,2.2,,
5SZE,502,1.1,,0.5,,
5V7C,1238,0.4,,0.5,,
5W0M,1734,0.9,,1.1,,
5WWX,1380,0.8,,0.9,,
5ZSC,1227,0.5,,0.5,,
6A4E,759,0.5,,0.4,,
6A6J,1167,1.2,,1.2,,
6GC5,1264,0.7,,0.8,,
6HAU,994,0.6,,0.2,,
6I0V,1380,0.6,,0.9,,
6L1W,1356,1.6,,2,,
6LLB,2527,0.8,,0.7,,
6R9P,974,0.8,,0.6,,
6U9X,2250,1.4,,1.8,,
6L5N,1201,1.4,,1.2,,
6LT7,5371,1.6,,1.6,,
6U6Y,1996,0.5,,0.3,,
6WXY,2186,0.5,,0.6,,
6ZOT,1352,0.6,,0.5,,
7C45,2405,2.6,,4,,
7DOL,2076,1,,0.9,,
7K5L,474,0.2,,0.2,,
7EIU,2431,0.9,,0.6,,
7KL3,848,0.2,,0.3,,
7L6T,1120,0.6,,1,,
7V4G,1529,0.6,,0.7,,
7VSJ,830,0.5,,0.5,,
7VKI,632,1.5,,1,,
7VKL,1227,1.1,,1.3,,
7Y7Q,3920,1.1,,1,,
8DZK,1262,0.2,,0.4,,
8EDJ,1692,17.7,,23.2,,
8AXF,10949,3.7,,3.2,,
8TG4,974,0.2,,0.2,,
2ZM5,3936,,4.2,,6.5,
3ZJT,4322,,2.8,,2.9,
6AAX,1758,,3.9,,6.1,
1HQ1,1364,,38.3,,30,
1JID,1436,,2.6,,4,
2PJP,1300,,2.5,,3.6,
3BT7,2230,,3.1,,3.5,
6HTU,3840,,1.6,,1.6,
1LNG,2367,,2,,2.1,
2I82,3018,,4.2,,4.7,
