has_tRNA,Structural_class,C_pro_seq_length,RNA_chain_count,U_pro_seq_length,is_NMR_structure,avg_resolution,C_RNA_seq_length,has_dsRNA,RNA_seq_missing,Docking_case,organism_match,Flexible_class,U_RNA_seq_length,pro_seq_missing,BSA,C?-rmsd,P-rmsd,i-rmsd_C?,i-rmsd_P,i-rmsd_C+P
0,2,89.0,1,87.0,1,2.205,38.0,0,0.0,1,1,3,43.2352941176,14.0,1428,2.1,0.0,1.6,0.0,0.0
0,3,338.2214765101,1,336.3496503497,0,2.41,42.0,0,0.0,1,0,0,43.2352941176,14.1140939597,10949,3.7,0.0,3.2,0.0,0.0
0,2,132.0,2,132.0,0,1.675,28.8064516129,0,1.6688311688000002,1,0,2,43.2352941176,3.0,1675,0.6000000000000001,0.0,0.6000000000000001,0.0,0.0
0,2,338.2214765101,1,336.3496503497,0,2.0975,37.0,0,0.0,1,1,3,43.2352941176,14.1140939597,1702,1.7000000000000002,0.0,2.0,0.0,0.0
0,2,841.0,1,841.0,0,2.325,30.0,0,0.0,2,0,0,20.0,9.0,2872,0.7000000000000001,3.8,14.5,3.3,12.8
1,0,523.0,1,523.0,0,2.6166666667,72.0,0,2.0,2,1,3,72.0,6.0,5202,1.6,4.8,1.8,6.4,4.0
0,2,201.0,1,201.0,0,2.274,36.0,0,0.0,1,1,2,43.2352941176,24.0,697,0.7000000000000001,0.0,0.30000000000000004,0.0,0.0
0,2,338.2214765101,2,336.3496503497,0,3.1255,28.8064516129,0,1.6688311688000002,1,0,2,43.2352941176,14.1140939597,2324,0.5,0.0,0.5,0.0,0.0
0,2,114.0,1,336.3496503497,1,1.9,28.0,0,1.0,0,0,1,28.0,0.0,1436,0.0,2.6,0.0,4.0,0.0
0,3,298.0,1,298.0,0,2.14,4.0,0,0.0,1,1,2,43.2352941176,1.0,1120,0.6000000000000001,0.0,1.0,0.0,0.0
0,3,66.0,1,66.0,0,1.6,6.0,0,0.0,1,0,2,43.2352941176,1.0,569,0.8,0.0,0.6000000000000001,0.0,0.0
0,2,338.2214765101,2,336.3496503497,0,2.5445,28.8064516129,0,1.6688311688000002,1,1,2,43.2352941176,14.1140939597,3280,1.5,0.0,1.2,0.0,0.0
0,2,390.0,1,390.0,0,2.2505,13.0,0,0.0,1,0,3,43.2352941176,0.0,986,7.9,0.0,2.0,0.0,0.0
0,3,203.0,1,203.0,0,1.9975,6.0,0,0.0,1,0,3,43.2352941176,12.0,1356,1.6,0.0,2.0,0.0,0.0
0,3,178.0,1,178.0,0,2.32,2.0,0,0.0,1,0,2,43.2352941176,3.0,759,0.5,0.0,0.4,0.0,0.0
0,3,120.0,1,120.0,0,1.615,3.0,0,0.0,1,0,2,43.2352941176,4.0,474,0.2,0.0,0.2,0.0,0.0
0,2,338.2214765101,2,336.3496503497,0,2.075,28.8064516129,0,1.6688311688000002,1,0,2,43.2352941176,14.1140939597,5193,1.0,0.0,0.8,0.0,0.0
0,3,142.0,1,142.0,0,1.5566666667,24.0,0,5.0,2,0,2,24.0,7.0,1310,0.7000000000000001,3.4,0.6000000000000001,3.2,1.9
0,2,338.2214765101,2,336.3496503497,0,2.315,28.8064516129,1,1.6688311688000002,1,1,2,43.2352941176,14.1140939597,1068,0.7000000000000001,0.0,0.4,0.0,0.0
0,2,338.2214765101,2,336.3496503497,0,2.5615,28.8064516129,0,1.6688311688000002,1,1,2,43.2352941176,14.1140939597,668,0.9,0.0,0.5,0.0,0.0
1,0,338.2214765101,1,336.3496503497,0,2.64,66.0,0,0.0,1,1,2,43.2352941176,14.1140939597,2480,1.0,0.0,0.9,0.0,0.0
1,0,338.2214765101,1,336.3496503497,0,2.3,74.0,0,1.6688311688000002,1,0,2,43.2352941176,14.1140939597,2240,1.3,0.0,0.8,0.0,0.0
0,2,338.2214765101,2,336.3496503497,1,2.6,28.8064516129,0,1.6688311688000002,1,0,2,43.2352941176,14.1140939597,2264,1.3,0.0,1.0,0.0,0.0
0,3,664.0,1,664.0,0,2.075,4.0,0,0.0,1,0,2,43.2352941176,0.0,1814,0.2,0.0,0.2,0.0,0.0
1,0,369.0,1,369.0,0,2.3,74.0,0,0.0,1,1,2,43.2352941176,92.0,4560,0.7000000000000001,0.0,1.0,0.0,0.0
1,0,338.2214765101,1,336.3496503497,0,2.45,72.0,0,5.0,1,0,0,43.2352941176,14.1140939597,3758,7.7,0.0,4.5,0.0,0.0
