Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
ExtraTreesClassifier,0.7,0.6942355889724311,0.6942355889724311,0.6953964194373402,0.07509422302246094
SVC,0.7,0.6917293233082706,0.6917293233082707,0.690625,0.008420467376708984
NuSVC,0.675,0.6729323308270676,0.6729323308270676,0.6743871778755499,0.008632659912109375
RandomForestClassifier,0.675,0.6679197994987469,0.6679197994987469,0.6676660219213411,0.09016609191894531
NearestCentroid,0.65,0.6466165413533835,0.6466165413533835,0.6482323232323232,0.009001016616821289
GaussianNB,0.625,0.62531328320802,0.62531328320802,0.625234521575985,0.007311105728149414
LabelSpreading,0.625,0.62531328320802,0.62531328320802,0.625234521575985,0.008469343185424805
LabelPropagation,0.625,0.62531328320802,0.62531328320802,0.625234521575985,0.008220434188842773
KNeighborsClassifier,0.625,0.6203007518796992,0.6203007518796994,0.6214285714285713,1.586287021636963
Perceptron,0.6,0.5989974937343359,0.5989974937343359,0.6,0.006799221038818359
ExtraTreeClassifier,0.6,0.5939849624060151,0.5939849624060151,0.5938618925831202,0.007264852523803711
BaggingClassifier,0.575,0.5802005012531328,0.5802005012531328,0.5709930861093652,0.024137496948242188
DecisionTreeClassifier,0.575,0.5776942355889725,0.5776942355889724,0.574202626641651,0.00765538215637207
XGBClassifier,0.575,0.575187969924812,0.575187969924812,0.5752657911194496,0.15532541275024414
BernoulliNB,0.575,0.5726817042606516,0.5726817042606517,0.574198617221873,0.007469654083251953
RidgeClassifierCV,0.575,0.5726817042606516,0.5726817042606517,0.574198617221873,0.007949352264404297
SGDClassifier,0.575,0.5701754385964912,0.5701754385964912,0.5709523809523809,0.008213520050048828
LinearSVC,0.575,0.5701754385964912,0.5701754385964912,0.5709523809523809,0.00809335708618164
RidgeClassifier,0.575,0.5701754385964912,0.5701754385964912,0.5709523809523809,0.008592605590820312
LinearDiscriminantAnalysis,0.575,0.5701754385964912,0.5701754385964912,0.5709523809523809,0.009586334228515625
LGBMClassifier,0.55,0.556390977443609,0.5563909774436091,0.5431818181818182,0.030253887176513672
CalibratedClassifierCV,0.55,0.531328320802005,0.531328320802005,0.475,0.02859640121459961
PassiveAggressiveClassifier,0.525,0.5200501253132832,0.5200501253132832,0.5204761904761904,0.00751185417175293
LogisticRegression,0.525,0.5175438596491228,0.5175438596491229,0.5142811089619601,0.012489080429077148
DummyClassifier,0.525,0.5,0.5,0.3614754098360656,0.0071582794189453125
AdaBoostClassifier,0.5,0.49624060150375937,0.49624060150375937,0.4974747474747474,0.06006574630737305
QuadraticDiscriminantAnalysis,0.375,0.3771929824561403,0.3771929824561403,0.3738273921200751,0.008825063705444336
